Exportaciones por Inciso Arancelario;;;;;;;;;;;;;;;;;;;;;;;;
Comercio General;;;;;;;;;;;;;;;;;;;;;;;;
Período: 2002 - 2025;;;;;;;;;;;;;;;;;;;;;;;;
-Cifras en US dólares-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Numero de Inciso;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025 p/
03026920;400895;314893;262473;186298;176323;237222;498240;354362;164.313 ;271.051 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03026930;1.665.591 ;428812;1064231;1.238.501 ;2.352.872 ;2.418.538 ;5.337.285 ;4.220.183 ;2.168.174 ;5.597.236 ;9.677 ;0;0;0;0;0;0;0;0;0;0;0;0;0
03026950;0;0;20;3386;31870;52000;47000;36000;47197;106550;9000;0;0;0;0;0;0;0;0;0;0;0;0;0
03026970;1484;0;0;56000;0;7994;12500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03026980;0;0;0;0;0;0;0;0;2978;2256;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03026990;1120;0;0;1517;22594;11165;16446;1844355;1900675;4253770;41596;0;0;0;0;0;0;0;0;0;0;0;0;0
03027100;0;0;0;0;0;0;0;0;0;0;0;0;129.585 ;82706;61342;0;0;0;0;0;0;0;0;0
0302710000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1018830;1231971;0;0;0;0;0;0;0 
0302730000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2500;0;0;0;0;0
03027900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18161;0;0;0;0;0;0;0;0;0 
03028910;0;0;0;0;0;0;0;0;0;0;4.318 ;48.745 ;24.677 ;0;0;0;0;0;0;0;0;0;0;0
0302891000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65520;1210141;2552597
03028920;0;0;0;0;0;0;0;0;0;12.713 ;2.634.287 ;3.874.833 ;4.727.389 ;3.042.425 ;975.361 ;0;0;0;0;0;0;0;0;0
0302892000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.656.123 ;6.657.054 ;4025273;2737310;7530347;9.463.990 ;8812509;5558963;5016757
03028940;0;0;0;0;0;0;0;0;0;0;93174;689;5400;0;0;0;0;0;0;0;0;0;0;0 
03028970;0;0;0;0;0;0;0;0;0;0;4008;4.230 ;11.074 ;0;0;0;0;0;0;0;0;0;0;0
03028990;0;0;0;0;0;0;0;0;0;53470;3705019;1237626;1057174;117404;50619;0;0;0;0;0;0;0;0;0
0302899000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76307;57093;0;0;0;9;0;0;0
0302992000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3402;0;0
03030000;0;0;0;0;0;0;0;0;0;0;0;4720282;9474192;0;0;0;0;0;0;0;0;0;0;0 
03031100;0;0;0;0;0;0;0;602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03031400;0;0;0;0;0;0;0;0;0;0;0;165100;87593;0;0;0;0;0;0;0;0;0;0;0
03031900;0;0;184805;131158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0303190000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14199;38024;0;0
03032300;0;0;0;0;0;0;0;0;0;0;0;0;82972;0;0;0;0;0;0;0;0;0;0;0
03032900;16 ;0;0;0;0;112 ;0;0;0;69.836 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03033300;0;0;0;0;0;9142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
03033900;0;0;0;0;0;117302;0;0;0;151330;222600;0;0;0;0;0;0;0;0;0;0;0;0;0
0303390000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
03034100;0;0;0;526277;179782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03034200;1398088;0;0;0;0;5520;0;0;0;2499;0;0;0;0;0;0;0;0;0;0;0;0;0;0 
0303420000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5189443;1986079;2587402;3954529;12083829;7503286;9340172;731514
0303430000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72269;0;0;0;0;750929;0
0303440000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21554;0;0;124730;0;37361;0
03034900;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0303490000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1186;0;0
03035200;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03035300;0;0;0;0;0;0;0;0;0;0;6750;0;0;2500;0;0;0;0;0;0;0;0;0;0
03035400;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0
0303590000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101194
03036100;0;0;0;0;0;36.500 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0303650000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0
03036900;0;0;0;0;0;0;0;0;0;0;80;0;0;68220;0;0;0;0;0;0;0;0;0;0
03037100;0;0;0;1300;720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03037500;0;37.003 ;12.000 ;56660;0;199709;4590;20502;33704;11345;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03037600;0;0;0;4.200 ;20 ;204;0;921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
